Names,Dates,Locations,Tweets,Polarity,Sentiment
ferezarams,2020-12-21 21:50:59,"pretoria, south africa","['rt', 'crimeairnetwork', 'armed', 'robbery', 'shoprite', 'checkers', 'overflow', 'warehouse', 'lower', 'germiston', 'rd', 'germiston', 'coe', 'gp', 'multiple', 'perps', 'all', 'dress']",0.4,positive
sn_news,2020-12-21 21:46:06,"new york, new york","['shopritestores', 'pharmacies', 'to', 'provide', 'covid19', 'vaccines']",0.17,positive
whoisurstylist,2020-12-21 21:42:34,,"['notoriousfred', 'adeisstillalive', 'shoprite', 'mall', 'second', 'floor']",0.0,neutral
mashudu73296983,2020-12-21 21:38:32,thohoyandou,"['katlegoms', 'buy', 'it', 'tomorow', 'at', 'shoprite', 'or', 'spar', 'or', 'pick', 'n', 'pay', 'its', 'the', 'best', 'spray', 'in', 'you', 'house', 'close', 'doors', 'n', 'window']",0.0,neutral
patwaranks,2020-12-21 21:38:19,"kampala, uganda","['rt', 'realdjlennon', 'rumor', 'has', 'it', 'that', 'im', 'kinda', 'famous', 'on', 'this', 'appi', 'went', 'to', 'town', 'and', 'walked', 'from', 'shoprite', 'to', 'magestic', 'plaza', 'expecting', 'some']",0.0,neutral
g_mdistribution,2020-12-21 21:34:38,worldwide,"['shoprite', 'pharmacies', 'to', 'provide', 'covid19', 'vaccines', 'supermarketnews']",0.0,neutral
richiannem,2020-12-21 21:32:35,"lindenhurst, ny ","['for', 'anyone', 'applying', 'for', 'a', 'job', 'do', 'not', 'choose', 'shoprite', 'its', 'the', 'work', 'place', 'ever', 'dont', 'go', 'there', 'for', 'ur', 'first', 'job', 'im', 'begging', 'you']",1.0,very_positive
jayrondbrown,2020-12-21 21:29:02,,"['upside', 'my', 'shoprite', 'crush', 'was', 'there', 'today']",0.0,neutral
modernmarvelle,2020-12-21 21:28:50,"the best borough, nyc","['acnewsitics', 'in', 'all', 'seriousness', 'though', 'mega', 'shout', 'out', 'to', 'all', 'the', 'supermarket', 'employees', 'right', 'now', 'i', 'worked', 'at', 'shop']",1.0,very_positive
canaanarinda,2020-12-21 21:25:34,somewhere in east africa 🌍 ,"['rt', 'realdjlennon', 'rumor', 'has', 'it', 'that', 'im', 'kinda', 'famous', 'on', 'this', 'appi', 'went', 'to', 'town', 'and', 'walked', 'from', 'shoprite', 'to', 'magestic', 'plaza', 'expecting', 'some']",-0.36,negative
ikeolu_,2020-12-21 21:23:40,,"['rt', 'daveelma', 'ableka', 'the', 'first', 'one', 'bikothe', 'last', 'time', 'someone', 'kissed', 'me', 'in', 'front', 'of', 'shoprite', 'i', 'wanted', 'the', 'ground', 'to', 'open', 'and', 'swallow', 'me']",0.5,very_positive
angelleshwala,2020-12-21 21:22:34,my home is my newcastle,"['rt', 'fistos4sho', 'angelleshwala', 'shangasemvelo', 'this', 'is', 'no', 'decor', 'kuqhume', 'iplastic', 'lase', 'shoprite', 'lana', 'kwasaphazeka']",0.0,neutral
joshuaminge,2020-12-21 21:19:45,"kampala, uganda","['rt', 'realdjlennon', 'rumor', 'has', 'it', 'that', 'im', 'kinda', 'famous', 'on', 'this', 'appi', 'went', 'to', 'town', 'and', 'walked', 'from', 'shoprite', 'to', 'magestic', 'plaza', 'expecting', 'some']",0.0,neutral
enochbankole,2020-12-21 21:18:57,lagos state|akure,"['tobanesta', 'greaterheights', 'shoprite', 'sir']",0.3,positive
naziyahrahman,2020-12-21 21:18:06,"south brunswick, nj","['not', 'me', 'coming', 'home', 'from', 'shoprite', 'after', 'what', 'i', 'thought', 'was', 'a', 'successful', 'grocery', 'shopping', 'trip', 'just', 'for', 'mummy', 'to', 'then']",0.65,very_positive
officialkefiloe,2020-12-21 21:15:56,,"['rt', 'teezypromking', 'ive', 'spent', '1', 'hour', 'ko', 'shoprite', 'ke', 'gatile', 'r200', 'kgante', 'e', 'wisitse', 'ke', 'nna']",0.5,very_positive
skosanaboyse,2020-12-21 21:11:22,kroonstad,"['please', 'help', 'my', 'grandmother', 'build', 'a', 'house', 'please', 'please', 'make', 'a', 'special', 'christmas', 'for', 'her', 'she', 'lives', 'in', 'odendaalsru']",-0.15,negative
fistos4sho,2020-12-21 20:59:55,"pietermaritzburg, south africa","['angelleshwala', 'shangasemvelo', 'this', 'is', 'no', 'decor', 'kuqhume', 'iplastic', 'lase', 'shoprite', 'lana', 'kwasaphazeka']",0.0,neutral
alianahofficial,2020-12-21 20:58:40,"kampala, uganda","['rt', 'realdjlennon', 'rumor', 'has', 'it', 'that', 'im', 'kinda', 'famous', 'on', 'this', 'appi', 'went', 'to', 'town', 'and', 'walked', 'from', 'shoprite', 'to', 'magestic', 'plaza', 'expecting', 'some']",0.17,positive
paul_unzimai,2020-12-21 20:47:53,pearl of africa ,"['rt', 'guinnessuganda', 'get', 'in', 'the', 'festive', 'mood', 'with', 'the', 'new', 'and', 'exciting', 'guinness', 'cansavailable', 'on', 'jumiaug', 'via', 'a']",0.0,neutral
generalbmb,2020-12-21 20:47:23,"jos, nigeria, africa ","['count', 'down', 'to', 'the', 'must', 'watch', 'movie', 'bana', 'bakwai', 'visit', 'film', 'house', 'shoprite', 'ado', 'bayero', 'mall', 'kano', 'state', 'to', 'feed']",0.0,neutral
pietrezhaukongo,2020-12-21 20:32:17,namibia,"['rt', 'nghidimondjila', 'this', 'group', 'of', 'companies', 'is', 'rooted', 'in', 'exploitation', 'and', 'shady', 'business', 'remember', 'shoprites', 'founder', 'christo', 'wieserem']",0.0,neutral
juliannahf,2020-12-21 20:26:46,,"['sean', 'and', 'i', 'do', 'be', 'wreaking', 'absolute', 'havoc', 'in', 'this', 'shoprite']",0.29,positive
lehantle,2020-12-21 20:26:24,south africa,"['rt', 'sephiritsikeli', 'next', 'thing', 'youll', 'be', 'told', 'to', 'wear', 'condoms', 'when', 'you', 'enter', 'shoprite', 'this', 'covid19', 'has', 'too', 'many', 'scams']",0.0,neutral
elegla_,2020-12-21 20:25:40,the bottom of crystal lake,"['shoprite', 'how', 'the', 'hell', 'yall', 'dont', 'sell', 'magnum', 'condoms']",0.0,neutral
sephiritsikeli,2020-12-21 20:23:46,south africa,"['rt', 'sephiritsikeli', 'next', 'thing', 'youll', 'be', 'told', 'to', 'wear', 'condoms', 'when', 'you', 'enter', 'shoprite', 'this', 'covid19', 'has', 'too', 'many', 'scams']",0.0,neutral
sephiritsikeli,2020-12-21 20:23:22,south africa,"['next', 'thing', 'youll', 'be', 'told', 'to', 'wear', 'condoms', 'when', 'you', 'enter', 'shoprite', 'this', 'covid19', 'has', 'too', 'many', 'scams']",0.36,positive
kingzaun420,2020-12-21 20:10:54,"bocce cawt, real bocce cawt","['jetstherapybro', 'oh', 'it', 'feels', 'good', 'ta', 'share', 'da', 'pain', 'bro', 'and', 'dis', 'joe', 'bengino', 'repawt', 'is', 'brought', 'ta', 'yoah', 'by', 'black', 'bear', 'd']",0.0,neutral
joeynumb69,2020-12-21 20:09:59,n 40°36' 0'' / w 74°7' 0'',"['weekly', 'supply', 'run', 'bitches', 'shoprite', 'of', 'forest', 'amp', 'richmond', 'in', 'staten', 'island', 'ny']",0.31,positive
ulstercounty911,2020-12-21 20:09:51,ulster county ny,"['inc', 'standby', 'loc', 'healthy', 'way', 'wawarsing', 'shoprite', 'blvd', 'airport', 'rd', 'time12212020', '150731']",-0.2,negative
x_capriii,2020-12-21 20:07:11,"new jersey, usa","['shoprite', 'straight', 'from', 'work']",0.6,very_positive
mxolisiayandas1,2020-12-21 20:06:37,in my thoughts ,"['akaworldwide', 'i', 'cant', 'even', 'afford', 'i', 'hennessey', 'yase', 'shoprite']",0.0,neutral
mehafossss,2020-12-21 20:05:58,"windhoek, namibia","['rt', 'nghidimondjila', 'this', 'group', 'of', 'companies', 'is', 'rooted', 'in', 'exploitation', 'and', 'shady', 'business', 'remember', 'shoprites', 'founder', 'christo', 'wieserem']",0.0,neutral
1realwang_,2020-12-21 20:05:52,ghana,"['rt', 'steeze1', 'me', 'and', 'boys', 'go', 'enter', 'shoprite', 'den', 'shop', 'condoms', 'for', '60', 'seconds', 'sctrolleydash']",0.28,positive
indigoesround,2020-12-21 20:03:48,africa,"['went', 'to', 'shoprite', 'in', 'the', 'neighbouring', 'town', 'today', 'the', 'car', 'park', 'was', 'packed', 'people', 'sitting', 'on', 'benches', 'drinking', 'alcoho']",0.65,very_positive
_mahlaku,2020-12-21 20:03:32,"gauteng, south africa","['rt', 'mikorza', 'we', 'only', 'use', 'saps', 'to', 'make', 'use', 'of', 'insurance', 'claims', 'you', 'could', 'say', 'my', 'phone', 'got', 'stolen', 'by', 'shoprite', 'by', 'end', 'street', 'will', 'they', 'even']",0.7,very_positive
wayneh__,2020-12-21 20:02:52,,"['rt', 'mikorza', 'we', 'only', 'use', 'saps', 'to', 'make', 'use', 'of', 'insurance', 'claims', 'you', 'could', 'say', 'my', 'phone', 'got', 'stolen', 'by', 'shoprite', 'by', 'end', 'street', 'will', 'they', 'even']",-0.23,negative
mikorza,2020-12-21 20:01:55,"sandton, south africa","['we', 'only', 'use', 'saps', 'to', 'make', 'use', 'of', 'insurance', 'claims', 'you', 'could', 'say', 'my', 'phone', 'got', 'stolen', 'by', 'shoprite', 'by', 'end', 'street', 'wil']",0.55,very_positive
nghidimondjila_,2020-12-21 20:00:26,windhoek,"['this', 'group', 'of', 'companies', 'is', 'rooted', 'in', 'exploitation', 'and', 'shady', 'business', 'remember', 'shoprites', 'founder', 'christo', 'wiese']",0.55,very_positive
merrisug,2020-12-21 19:57:27,buza nyoko.. ,"['rt', 'realdjlennon', 'rumor', 'has', 'it', 'that', 'im', 'kinda', 'famous', 'on', 'this', 'appi', 'went', 'to', 'town', 'and', 'walked', 'from', 'shoprite', 'to', 'magestic', 'plaza', 'expecting', 'some']",-0.25,negative
bvllin74,2020-12-21 19:54:51,,"['mrbeastyt', 'the', 'fries', 'taste', 'like', 'typical', 'fries', 'u', 'buy', 'at', 'shoprite', 'which', 'im', 'disappointed', 'at', 'but', 'the', 'mrbeastburger', 'ta']",-0.25,negative
khaaaaaaaaaabo,2020-12-21 19:46:30,,"['my', 'dear', 'did', 'you', 'shoprite']",0.35,positive
chenyentha13,2020-12-21 19:46:11,lilongwe,"['rt', 'qwazylindie', 'hey', 'blantyre', 'people', 'i', 'have', 'very', 'nice', 'and', 'tasty', 'appetizing', 'aroma', 'achale', 'made', 'by', 'me', 'for', 'sell', 'at', 'k2000', 'a', 'bottle', 'only', 'deli']",0.0,neutral
ellineuusiku,2020-12-21 19:46:09,ongwediva ,"['rt', 'newsonnbc', 'shoprite', 'checkers', 'and', 'u', 'save', 'workers', 'to', 'strike', 'on', 'monday', 'over', 'poor', 'salaries']",0.0,neutral
meb40122141,2020-12-21 19:43:11,,"['rt', 'sthatomose', 'hi', 'shopritesa', 'how', 'about', '2', 'nyana', 'pairs', 'of', 'school', 'shoes']",0.0,neutral
katzkatz17,2020-12-21 19:41:57,"hartswater, south africa","['rt', 'morviteza', 'were', 'giving', 'away', 'over', 'r30000', 'in', 'shoprite', 'grocery', 'vouchers', 'just', 'for', 'sharing', 'your', 'papvolstory', 'we', 'want', 'to', 'hear', 'your', 'stori']",0.2,positive
zamorazulfah,2020-12-21 19:37:11,,"['rt', 'realdjlennon', 'rumor', 'has', 'it', 'that', 'im', 'kinda', 'famous', 'on', 'this', 'appi', 'went', 'to', 'town', 'and', 'walked', 'from', 'shoprite', 'to', 'magestic', 'plaza', 'expecting', 'some']",0.0,neutral
imanuelfenyane,2020-12-21 19:36:41,pretoria,"['if', 'shopritesa', 'was', 'a', 'person', 'face', 'of', 'is', 'better', 'than', 'nothing']",0.0,neutral
basilproudly,2020-12-21 19:27:33,nigeria/ @fcbarcelona elite-faithful,"['this', 'is', 'what', 'im', 'talking', 'aboutif', 'you', 'are', 'to', 'write', 'an', 'essay', 'onwhat', 'is', 'christmas', 'to', 'youand', 'the', 'only', 'thing', 'y']",0.0,neutral
ulstercounty911,2020-12-21 19:21:48,ulster county ny,"['inc', 'critical', 'loc', 'healthy', 'way', '89', 'wawarsing', 'shoprite', 'blvd', 'airport', 'rd', 'time12212020', '141854']",0.2,positive
1touchmediacb,2020-12-21 19:21:33,united states,"['cb', 'village', 'alert', 'effective', '1121', 'delaware', 'shoprite', 'stores', 'will', 'pose', 'plastic', 'bag', 'band', 'in', 'all', 'stores', 'youll', 'have']",0.0,neutral
firimesokor,2020-12-21 19:21:27,,"['rt', 'steeze1', 'me', 'and', 'boys', 'go', 'enter', 'shoprite', 'den', 'shop', 'condoms', 'for', '60', 'seconds', 'sctrolleydash']",0.42,positive
